pop_2009,per_capita_09,PCT_LACCESS_POP10,PCT_LACCESS_HHNV10,GROC09,RECFAC09,PCT_LACCESS_LOWI10,SUPERC09,CONVS09,SPECS09,WICS08,PCH_GROC_09_14,FFR09,FSR09,PCT_NSLP09,PCT_CACFP09,PCT_DIABETES_ADULTS08,PCT_OBESE_ADULTS08,METRO13
28058,29142,15.53797568,4.867200927,7,4,6.794312824,1,35,2,6,FALSE,18,14,13.13427904,1.424865129,12.2,31.6,0
88677,34628,7.806264349,0.976417862,11,8,2.074143657,1,32,10,11,FALSE,34,50,10.51943013,1.138312513,7.6,30.7,0
161075,37336,33.20188673,1.573028329,23,18,6.07787162,4,47,8,19,FALSE,124,100,9.703633786,1.072691744,10.1,29,1
52813,30363,15.31438542,2.869024009,10,3,5.861005802,2,43,1,10,FALSE,34,50,10.99078913,0.954011703,13.1,33.8,0
8382,29954,22.0418865,6.016297477,3,0,9.141156069,0,5,1,2,FALSE,2,5,10.77667438,1.05044108,9.4,30.3,0
199696,25894,44.14569892,2.446514501,19,13,17.25378977,3,90,5,22,FALSE,109,123,9.93814528,0.693959075,11.1,27,1
2469,33285,55.71420276,5.40912297,2,0,24.56911733,0,3,1,2,FALSE,0,2,13.08077594,1.652914943,9.4,27.4,0
59754,30285,12.48895188,2.096412993,15,4,3.837739086,1,27,4,11,FALSE,51,23,9.703633786,1.072691744,10,31.4,0
4478,30777,31.89033188,0.743272082,2,0,13.62335724,0,3,1,2,FALSE,2,3,8.887484884,1.409349234,8.4,21.3,0
411994,30530,27.30648439,2.248038882,60,32,10.58853877,8,260,28,64,FALSE,253,212,12.31505542,0.916089934,12.2,30.3,1
69598,29106,15.31663205,2.504548425,15,4,5.2706315,1,48,1,10,FALSE,43,54,10.9781941,0.73534796,12.1,32.7,0
513668,41164,27.49415442,1.708516265,143,64,4.957837378,1,136,62,93,TRUE,383,272,8.102654432,0.848486616,9.4,26.8,1
54135,32602,33.7696573,3.284785556,6,4,9.793530396,1,29,2,6,FALSE,30,34,12.31505542,0.916089934,11.4,31.5,1
2367,39723,98.5771723,2.392377481,1,0,29.80894892,0,3,0,1,FALSE,1,2,13.08077594,1.652914943,8,30.1,0
40541,31683,17.7661164,4.456365455,8,5,9.117305185,1,24,6,6,FALSE,27,35,10.25076102,1.358123605,10.7,31.7,0
12654,30783,24.21370902,1.596041064,6,0,8.302101181,0,6,0,5,FALSE,5,12,12.64728619,1.678405334,10.2,30.4,0
8435,18526,7.862633634,2.567695215,1,0,1.619971245,0,5,0,1,FALSE,2,2,8.417275916,0.974292275,10,31.6,0
259078,30627,23.60218537,0.897518857,33,18,6.24806305,4,101,6,28,TRUE,171,161,10.99078913,0.954011703,9.3,30.6,1
905511,62189,21.66605686,2.304355572,175,117,6.435660816,11,350,62,188,TRUE,952,1085,13.13427904,1.424865129,8.7,23.5,1
28403,28740,14.32382607,2.842300638,4,1,6.98255704,0,18,0,4,FALSE,9,9,13.22995017,1.060774254,11.3,33.9,1
